#    n      selection         insert          merge
   100      1383(1,4)       803(0,8)       900(2,0)
   200      5482(1,4)      3052(0,8)      2033(1,9)
   100      1400(1,4)       822(0,8)       900(2,0)
   200      5372(1,3)      3046(0,8)      2029(1,9)
   100      1403(1,4)       818(0,8)       898(1,9)
   200      5380(1,3)      3058(0,8)      2037(1,9)
   400     22075(1,4)     12865(0,8)      4411(1,8)
   800     85808(1,3)     49467(0,8)      9894(1,9)
  1600    331845(1,3)    192681(0,8)     21327(1,8)
  3200   1314557(1,3)    735272(0,7)     46179(1,8)
  6400   5163863(1,3)   2921893(0,7)     99987(1,8)
